scorer_version,domain,domain_display,label,label_display,records,annotator1_count,annotator2_count,exact_tp,containment_extra_tp,exact_precision,exact_recall,exact_micro_f1,containment_precision,containment_recall,containment_micro_f1
exact_first_matching,software_developers,Software developers,hard_skills,Hard skills,32,457,491,328,90,0.7177242888402626,0.6680244399185336,0.6919831223628692,0.9146608315098468,0.8513238289205702,0.8818565400843882
exact_first_matching,software_developers,Software developers,soft_skills,Soft skills,32,245,270,174,55,0.710204081632653,0.6444444444444445,0.6757281553398058,0.9346938775510204,0.8481481481481481,0.8893203883495144
exact_first_matching,software_developers,Software developers,distinct_skills,Distinct skills,32,12,12,8,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
exact_first_matching,software_developers,Software developers,must_have,Must-have skills,32,240,226,152,61,0.6333333333333333,0.672566371681416,0.6523605150214592,0.8875,0.9424778761061947,0.9141630901287554
exact_first_matching,software_developers,Software developers,nice_to_have,Nice-to-have skills,32,80,74,54,19,0.675,0.7297297297297297,0.7012987012987014,0.9125,0.9864864864864865,0.948051948051948
exact_first_matching,journalists,Journalists,hard_skills,Hard skills,35,493,620,272,169,0.5517241379310345,0.43870967741935485,0.4887690925426775,0.8945233265720081,0.7112903225806452,0.7924528301886793
exact_first_matching,journalists,Journalists,soft_skills,Soft skills,35,341,330,256,27,0.750733137829912,0.7757575757575758,0.7630402384500746,0.8299120234604106,0.8575757575757575,0.8435171385991058
exact_first_matching,journalists,Journalists,distinct_skills,Distinct skills,35,33,26,12,9,0.36363636363636365,0.46153846153846156,0.4067796610169492,0.6363636363636364,0.8076923076923077,0.7118644067796609
exact_first_matching,journalists,Journalists,must_have,Must-have skills,35,833,949,552,211,0.6626650660264105,0.5816649104320337,0.6195286195286194,0.9159663865546218,0.804004214963119,0.8563411896745229
exact_first_matching,journalists,Journalists,nice_to_have,Nice-to-have skills,35,21,22,17,4,0.8095238095238095,0.7727272727272727,0.7906976744186046,1.0,0.9545454545454546,0.9767441860465117
