family,control_exact_macro_f1,finetuned_exact_macro_f1,delta_exact_macro_f1,control_exact_micro_f1,finetuned_exact_micro_f1,delta_exact_micro_f1,control_containment_macro_f1,finetuned_containment_macro_f1,delta_containment_macro_f1,control_containment_micro_f1,finetuned_containment_micro_f1,delta_containment_micro_f1,control_lexical_macro_f1,finetuned_lexical_macro_f1,delta_lexical_macro_f1,control_lexical_micro_f1,finetuned_lexical_micro_f1,delta_lexical_micro_f1,control_semantic_macro_f1,finetuned_semantic_macro_f1,delta_semantic_macro_f1,control_semantic_micro_f1,finetuned_semantic_micro_f1,delta_semantic_micro_f1,control_unsupported_item_rate,finetuned_unsupported_item_rate,delta_unsupported_item_rate,control_filtered_item_rate,finetuned_filtered_item_rate,delta_filtered_item_rate
BART,5.048174416540555e-05,0.333891525363129,0.33384104361896355,7.130095555131112e-05,0.33519510135030933,0.33512380039475803,0.056351928850355865,0.49765600618193556,0.44130407733157967,0.04944109833878197,0.4959140761733003,0.44647297783451834,0.05645478013582808,0.5085572131270646,0.45210243299123654,0.04956277352015457,0.5063221573942893,0.4567593838741348,0.058502041092370706,0.5153927256885192,0.4568906845961485,0.051089143920497834,0.5127668239882658,0.461677680067768,0.9923775548513394,0.08262000569200317,-0.9097575491593362,0.0030006503925046808,0.0002159754451762593,-0.002784674947328422
BERT,0.03408739414970829,0.4404739046764846,0.4063865105267763,0.03482348951705546,0.45250769290135956,0.4176842033843041,0.1439461223006392,0.659448405958853,0.5155022836582137,0.1484350052428812,0.6813010270849669,0.5328660218420856,0.14430997601670129,0.6607645691466254,0.5164545931299241,0.1488233816128559,0.6827222455641354,0.5338988639512796,0.14544039656451424,0.6629828362475204,0.5175424396830062,0.15001523260894958,0.6845932360871944,0.5345780034782448,0.0,0.0,0.0,0.2528218309900781,0.048320360714386223,-0.20450147027569188
