family,domain,control_exact_macro_f1,finetuned_exact_macro_f1,delta_exact_macro_f1,control_exact_micro_f1,finetuned_exact_micro_f1,delta_exact_micro_f1,control_containment_macro_f1,finetuned_containment_macro_f1,delta_containment_macro_f1,control_containment_micro_f1,finetuned_containment_micro_f1,delta_containment_micro_f1,control_lexical_macro_f1,finetuned_lexical_macro_f1,delta_lexical_macro_f1,control_lexical_micro_f1,finetuned_lexical_micro_f1,delta_lexical_micro_f1,control_semantic_macro_f1,finetuned_semantic_macro_f1,delta_semantic_macro_f1,control_semantic_micro_f1,finetuned_semantic_micro_f1,delta_semantic_micro_f1,control_unsupported_item_rate,finetuned_unsupported_item_rate,delta_unsupported_item_rate,control_filtered_item_rate,finetuned_filtered_item_rate,delta_filtered_item_rate
BART,it,6.433764395546666e-05,0.33261380854118966,0.33254947089723413,9.695559433778333e-05,0.33424564551971053,0.3341486899253728,0.0517800697293014,0.48939785764115945,0.43761778791185796,0.04381588799783651,0.4887974467785953,0.4449815587807588,0.0517800697293014,0.49412523219155613,0.44234516246225475,0.04381588799783651,0.49260430863256993,0.4487884206347334,0.0517800697293014,0.499909949445386,0.4481298797160846,0.04381588799783651,0.4968454665035958,0.45302957850575926,0.9887588762940848,0.052044857047952635,-0.9367140192461321,0.0,0.0006479263355287779,0.0006479263355287779
BART,journal,0.0,0.3145295644234377,0.3145295644234377,0.0,0.31234543863878544,0.31234543863878544,0.06217518522921051,0.47562982258008324,0.4134546373508727,0.056281764174334635,0.4687745457079271,0.4124927815335924,0.062443423007575216,0.4951505311389408,0.43270710813136565,0.05660029971380343,0.4876618281660668,0.4310615284522634,0.06551624304468097,0.5030511551468552,0.4375349121021741,0.05905591378330613,0.4971703455651737,0.43811443178186754,0.9946593821482314,0.13711175481547785,-0.8575476273327536,0.00575156839588153,0.0,-0.00575156839588153
BART,merged,8.710758854075e-05,0.35453120312475955,0.35444409553621875,0.00011694727231615001,0.35899421989243185,0.3588772726201157,0.05510053159255568,0.527940338324564,0.47283980673200826,0.048225642844174764,0.5301702360333784,0.4819445931892037,0.05514084767060762,0.5363958760506969,0.4812550283800892,0.048272132848823764,0.5387003353842311,0.4904282025354074,0.05820981050312976,0.5432170724733167,0.485007261970187,0.05039562998035086,0.5442846598960279,0.4938890299156771,0.9937144061117018,0.05870340521257902,-0.9350110008991228,0.0032503827816325135,0.0,-0.0032503827816325135
BERT,it,0.040537889928894046,0.4380919604005777,0.3975540704716836,0.04159459349960108,0.4608368913587803,0.4192422978591792,0.12764713748515635,0.6211947405766587,0.4935476030915023,0.12991868449649205,0.6518574032217,0.5219387187252079,0.12794579138973558,0.6221741500511283,0.4942283586613927,0.13016549439709352,0.6528595677589574,0.5226940733618639,0.1286129370928977,0.627219356566484,0.49860641947358636,0.1308023396313807,0.6560409061103994,0.5252385664790187,0.0,0.0,0.0,0.2628751714486735,0.02687380981997119,-0.2360013616287023
BERT,journal,0.0278893032212867,0.429558969117833,0.40166966589654624,0.028807700662161467,0.4285496861796651,0.39974198551750356,0.15860468169251254,0.6872453129845436,0.528640631292031,0.16417471544618392,0.6921153103002234,0.5279405948540394,0.1589963800915508,0.6890621365999414,0.5300657565083906,0.16465392548504681,0.694046830909144,0.5293929054240972,0.16052790979093798,0.6899204342993022,0.5293925245083642,0.1662941082535517,0.6952411924481646,0.5289470841946129,0.0,0.0,0.0,0.24420175965694665,0.07479638432692244,-0.1694053753300242
BERT,merged,0.033834989298944115,0.4537707845110432,0.41993579521209906,0.034068174389403814,0.4681365011656333,0.43406832677622953,0.14558654772424873,0.6699051643153565,0.5243186165911079,0.15121161578596756,0.6999303677329772,0.5487187519470097,0.1459877565688175,0.6710574207888067,0.5250696642199891,0.15165072495642742,0.7012603380243049,0.5496096130678775,0.1471803428097071,0.671808717876775,0.5246283750670679,0.15294924994191644,0.7024976097030192,0.5495483597611028,0.0,0.0,0.0,0.25138856186461417,0.04329088799626504,-0.2080976738683491
