model,configuration_count,exact_macro_precision,exact_macro_recall,exact_macro_f1,containment_macro_precision,containment_macro_recall,containment_macro_f1,lexical_macro_precision,lexical_macro_recall,lexical_macro_f1,semantic_macro_precision,semantic_macro_recall,semantic_macro_f1,predicted_items,unsupported_items,unsupported_item_rate,raw_prediction_items,filtered_items,filtered_item_rate
BART,18,0.4225767116620665,0.3084792442332242,0.333891525363129,0.6527349434811396,0.4550780449021798,0.49765600618193556,0.6688321958399336,0.46458140406816906,0.5085572131270646,0.6779517730714744,0.47123486743911375,0.5153927256885192,22379,900,0.040216274185620446,22382,2,8.935751943526048e-05
BERT,18,0.3961420758267941,0.5478794813060127,0.4404739046764846,0.5882644136110017,0.8355611229003566,0.659448405958853,0.5894123335878478,0.8371588394229792,0.6607645691466254,0.5915337132766082,0.8396330139657904,0.6629828362475204,51361,0,0.0,53932,2540,0.047096343543721726
Claude,18,0.37595881936029035,0.36453846364979037,0.3479755298489014,0.6543345262935325,0.6301726609156606,0.5954486657274497,0.6640368779264463,0.6415130218086676,0.6048202175837065,0.6705839877751706,0.6490689871823937,0.6109993224468286,32841,1867,0.056849669620291705,32859,18,0.0005477951246233908
GPT,18,0.3689422017008185,0.4305447784766057,0.3686738120911318,0.6014162976850536,0.7035123716590116,0.5900526974764775,0.6022657624977822,0.7045159391394241,0.590908695809225,0.6080333538223949,0.7116313986184621,0.5957975237130774,39710,189,0.004759506421556283,39761,19,0.00047785518472875433
Gemini,18,0.4190851182219988,0.41471814526250556,0.390891342238608,0.6802500964369375,0.653528539437294,0.6188965345798549,0.6837573104949318,0.6559676483562352,0.6214747496802037,0.6888118781508167,0.660370655148182,0.6259304260116338,32557,327,0.010043922965875234,32575,18,0.0005525709900230238
