model,domain,skill,excluded_prompt_development_ids,full_test_rows,sensitivity_test_rows,full_exact_macro_precision,sensitivity_exact_macro_precision,delta_exact_macro_precision,full_exact_macro_recall,sensitivity_exact_macro_recall,delta_exact_macro_recall,full_exact_macro_f1,sensitivity_exact_macro_f1,delta_exact_macro_f1,full_containment_macro_precision,sensitivity_containment_macro_precision,delta_containment_macro_precision,full_containment_macro_recall,sensitivity_containment_macro_recall,delta_containment_macro_recall,full_containment_macro_f1,sensitivity_containment_macro_f1,delta_containment_macro_f1,full_lexical_macro_precision,sensitivity_lexical_macro_precision,delta_lexical_macro_precision,full_lexical_macro_recall,sensitivity_lexical_macro_recall,delta_lexical_macro_recall,full_lexical_macro_f1,sensitivity_lexical_macro_f1,delta_lexical_macro_f1,full_semantic_macro_precision,sensitivity_semantic_macro_precision,delta_semantic_macro_precision,full_semantic_macro_recall,sensitivity_semantic_macro_recall,delta_semantic_macro_recall,full_semantic_macro_f1,sensitivity_semantic_macro_f1,delta_semantic_macro_f1
BERT,it,all_skills,5,157,152,0.5111148804671152,0.5114419420609796,0.00032706159386441946,0.5889366840086809,0.5873943300659539,-0.0015423539427270594,0.5387550203403391,0.53813011087832,-0.0006249094620190965,0.7340425341792078,0.7348169549717536,0.0007744207925457491,0.8384910358220387,0.836496480879577,-0.0019945549424617015,0.7689845935996386,0.7683002525570347,-0.0006843410426038421,0.7361579579590634,0.737001965060157,0.0008440071010936689,0.8412707578692766,0.8393676411520531,-0.0019031167172235408,0.7713570588549464,0.7707507594325829,-0.0006062994223635654,0.7374652417729244,0.7377801692511902,0.0003149274782657807,0.8427586537532473,0.8402119602039523,-0.0025466935492950427,0.7727402865065685,0.7715529215777577,-0.0011873649288107746
BART,it,all_skills,5,157,152,0.5746406571244441,0.5724062919154745,-0.00223436520896958,0.3458944270435417,0.34246982327788816,-0.003424603765653511,0.41707468587034363,0.4138304280647408,-0.003244257805602835,0.8324914065624659,0.8311360972238132,-0.0013553093386526882,0.49476376249341036,0.4910505745062161,-0.0037131879871942775,0.5988083549905574,0.5955167275984145,-0.0032916273921429484,0.8441113076568895,0.8431382319068689,-0.0009730757500205911,0.5023928755924533,0.4989306452729905,-0.0034622303194627446,0.6077613024885764,0.6047641799483421,-0.0029971225402343205,0.8468018286678933,0.8459172568984976,-0.0008845717693957145,0.504262172497344,0.5008614322076475,-0.003400740289696502,0.6098991058237017,0.6069723057615964,-0.002926800062105217
GPT,it,all_skills,5,157,152,0.39470583855839336,0.3970903708234744,0.002384532265081063,0.5810946539355126,0.5837975409941107,0.0027028870585981135,0.45947130191019203,0.4618169983723173,0.0023456964621252907,0.5756003284656039,0.5768596361116088,0.0012593076460049035,0.8488368712486305,0.8497297688556188,0.0008928976069882966,0.6680413351795669,0.6688408449833492,0.0007995098037822945,0.5766103276886456,0.5777250496049676,0.0011147219163220035,0.8501865250588945,0.8507948718043782,0.0006083467454837121,0.669187677360117,0.6697940555297184,0.000606378169601407,0.5793381811757162,0.5805426351146391,0.0012044539389228781,0.8547275962225545,0.8554853203089481,0.0007577240863936296,0.6723884112855322,0.6731000767553118,0.0007116654697796321
Gemini,it,all_skills,5,157,152,0.4462889868959875,0.4478650452940725,0.0015760583980850007,0.5534401068397851,0.5568553702532251,0.003415263413440006,0.4833983788930311,0.48551206225682497,0.0021136833637938612,0.6382988691419715,0.6371921862523815,-0.0011066828895900382,0.7953657802809623,0.7966076557854666,0.001241875504504275,0.6910613899208795,0.6905515872265767,-0.0005098026943027856,0.6396069767323452,0.6385433236977017,-0.001063653034643508,0.7968043495357695,0.7980935463973399,0.001289196861570363,0.6924119348174098,0.6919465579420719,-0.0004653768753378751,0.6422522407232589,0.6412756029514745,-0.000976637771784472,0.7996647871191479,0.8010480773222767,0.001383290203128773,0.695129382435762,0.694753395284712,-0.0003759871510500279
Claude,it,all_skills,5,157,152,0.4601389553626531,0.46137390579033355,0.001234950427680459,0.5055615457560539,0.5082313146439288,0.002669768887874846,0.47096897517987335,0.4726067720877657,0.0016377969078923416,0.6780111976780455,0.6771963015658128,-0.0008148961122327325,0.7387853605457879,0.7398483308091632,0.001062970263375318,0.6883873948768225,0.6879703561206203,-0.0004170387562022482,0.6814027255544758,0.6806993928592309,-0.0007033326952449181,0.742726805638986,0.74391942870148,0.0011926230624940137,0.6919666692017609,0.6916673697325632,-0.00029929946919771133,0.6856354267904177,0.6850713276884602,-0.0005640991019574271,0.7468799992435698,0.7482092405167409,0.0013292412731710224,0.6960638331955685,0.695899308857746,-0.00016452433782254694
