domain,skill,split,feature,n,mean,median,minimum,maximum
it,nice_to_have,validation,target_items,17,5.294117647058823,4.0,1.0,12.0
it,nice_to_have,validation,target_words,17,11.882352941176471,7.0,2.0,37.0
it,nice_to_have,test,input_words,83,463.93975903614455,462.0,140.0,945.0
it,nice_to_have,test,target_items,83,5.457831325301205,4.0,1.0,24.0
it,nice_to_have,test,target_words,83,11.963855421686747,9.0,1.0,78.0
journal,all_skills,all,input_words,322,421.3198757763975,423.5,44.0,915.0
journal,all_skills,all,target_items,322,22.270186335403725,21.0,2.0,72.0
journal,all_skills,all,target_words,322,101.99068322981367,90.5,12.0,288.0
journal,all_skills,all,distinct_skills_items,322,1.6521739130434783,1.0,0.0,13.0
journal,all_skills,all,hard_skills_items,322,14.906832298136646,13.0,0.0,62.0
journal,all_skills,all,must_have_items,322,20.633540372670808,19.0,0.0,67.0
journal,all_skills,all,nice_to_have_items,322,1.3478260869565217,1.0,0.0,9.0
journal,all_skills,all,soft_skills_items,322,5.574534161490683,4.0,0.0,22.0
journal,all_skills,train,input_words,129,411.4108527131783,411.0,44.0,803.0
journal,all_skills,train,target_items,129,22.170542635658915,22.0,2.0,51.0
journal,all_skills,train,target_words,129,104.17829457364341,95.0,12.0,285.0
journal,all_skills,train,distinct_skills_items,129,1.573643410852713,1.0,0.0,9.0
journal,all_skills,train,hard_skills_items,129,14.790697674418604,13.0,0.0,49.0
journal,all_skills,train,must_have_items,129,20.155038759689923,19.0,0.0,53.0
journal,all_skills,train,nice_to_have_items,129,1.4651162790697674,1.0,0.0,9.0
journal,all_skills,train,soft_skills_items,129,5.666666666666667,4.0,0.0,18.0
journal,all_skills,validation,input_words,32,428.25,422.0,92.0,915.0
journal,all_skills,validation,target_items,32,22.28125,20.0,5.0,53.0
journal,all_skills,validation,target_words,32,101.125,95.5,33.0,193.0
journal,all_skills,validation,distinct_skills_items,32,1.71875,1.0,0.0,11.0
journal,all_skills,validation,hard_skills_items,32,14.65625,12.5,4.0,38.0
journal,all_skills,validation,must_have_items,32,21.09375,19.0,2.0,54.0
journal,all_skills,validation,nice_to_have_items,32,1.21875,1.0,0.0,5.0
journal,all_skills,validation,soft_skills_items,32,5.6875,4.5,0.0,19.0
journal,all_skills,test,input_words,161,427.88198757763973,436.0,56.0,881.0
journal,all_skills,test,target_items,161,22.347826086956523,21.0,3.0,72.0
journal,all_skills,test,target_words,161,100.40993788819875,90.0,13.0,288.0
journal,all_skills,test,distinct_skills_items,161,1.7018633540372672,1.0,0.0,13.0
journal,all_skills,test,hard_skills_items,161,15.049689440993788,13.0,1.0,62.0
journal,all_skills,test,must_have_items,161,20.925465838509318,19.0,2.0,67.0
journal,all_skills,test,nice_to_have_items,161,1.279503105590062,1.0,0.0,9.0
journal,all_skills,test,soft_skills_items,161,5.478260869565218,4.0,0.0,22.0
